State,Number Of Visit ,Date
New South Wales,"3,702","June,2024"
Victoria,"2,489","June,2024"
Queensland,"2,124","June,2024"
South Australia,451,"June,2024"
Western Australia,819,"June,2024"
Tasmania,256,"June,2024"
Northern Territory,202,"June,2024"
Australian Capital Territory,184,"June,2024"
New South Wales,"2,729","June,2023"
Victoria,"1,633","June,2023"
Queensland,"1,563","June,2023"
South Australia,365,"June,2023"
Western Australia,686,"June,2023"
Tasmania,163,"June,2023"
Northern Territory,149,"June,2023"
Australian Capital Territory,162,"June,2023"
